"No.","Time","Source","Destination","Protocol","Length","Info"
"369","7.433326000","10.0.0.2","10.0.0.1","TCP","66","34508 > irdmi [ACK] Seq=622 Ack=30 Win=29696 Len=0 TSval=277889 TSecr=277864"
"370","7.434637000","10.0.0.2","10.0.0.1","TCP","66","34508 > irdmi [FIN, ACK] Seq=622 Ack=346 Win=32256 Len=0 TSval=277889 TSecr=277864"
"371","7.437175000","10.0.0.2","10.0.0.1","TCP","74","34510 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=277890 TSecr=0 WS=512"
"372","7.484857000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34508 [ACK] Seq=346 Ack=623 Win=32256 Len=0 TSval=277914 TSecr=277889"
"373","7.487337000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34510 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=277915 TSecr=277890 WS=512"
"374","7.639102000","10.0.0.2","10.0.0.1","TCP","66","34510 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=277940 TSecr=277915"
"375","7.639112000","10.0.0.2","10.0.0.1","HTTP","678","GET /Course%20Outlines%20-%20Electrical%20and%20Computer%20Engineering%20-%20Faculty%20of%20Engineering%20-%20Western%20University_files/scripts-responsive.js.download HTTP/1.1 "
"376","7.689300000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34510 [ACK] Seq=1 Ack=613 Win=32256 Len=0 TSval=277966 TSecr=277940"
"377","7.690796000","10.0.0.1","10.0.0.2","TCP","95","[TCP segment of a reassembled PDU]"
"378","7.690811000","10.0.0.1","10.0.0.2","HTTP","381","HTTP/1.0 404 File not found  (text/html)"
"379","7.841070000","10.0.0.2","10.0.0.1","TCP","66","34510 > irdmi [ACK] Seq=613 Ack=30 Win=29696 Len=0 TSval=277991 TSecr=277966"
"380","7.841940000","10.0.0.2","10.0.0.1","TCP","66","34510 > irdmi [FIN, ACK] Seq=613 Ack=346 Win=32256 Len=0 TSval=277991 TSecr=277966"
"381","7.892505000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34510 [ACK] Seq=346 Ack=614 Win=32256 Len=0 TSval=278016 TSecr=277991"
"382","7.924426000","10.0.0.2","10.0.0.1","TCP","74","34512 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=278012 TSecr=0 WS=512"
"383","7.974483000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34512 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=278037 TSecr=278012 WS=512"
"384","8.126156000","10.0.0.2","10.0.0.1","TCP","66","34512 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=278062 TSecr=278037"
"385","8.126158000","10.0.0.2","10.0.0.1","HTTP","675","GET /Course%20Outlines%20-%20Electrical%20and%20Computer%20Engineering%20-%20Faculty%20of%20Engineering%20-%20Western%20University_files/jquery.validate.js.download HTTP/1.1 "
"386","8.176701000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34512 [ACK] Seq=1 Ack=610 Win=32256 Len=0 TSval=278087 TSecr=278062"
"387","8.177816000","10.0.0.1","10.0.0.2","TCP","95","[TCP segment of a reassembled PDU]"
"388","8.177820000","10.0.0.1","10.0.0.2","HTTP","381","HTTP/1.0 404 File not found  (text/html)"
"389","8.328287000","10.0.0.2","10.0.0.1","TCP","66","34512 > irdmi [ACK] Seq=610 Ack=30 Win=29696 Len=0 TSval=278113 TSecr=278088"
"390","8.329689000","10.0.0.2","10.0.0.1","TCP","66","34512 > irdmi [FIN, ACK] Seq=610 Ack=346 Win=32256 Len=0 TSval=278113 TSecr=278088"
"391","8.334347000","10.0.0.2","10.0.0.1","TCP","74","34514 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=278114 TSecr=0 WS=512"
"392","8.379800000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34512 [ACK] Seq=346 Ack=611 Win=32256 Len=0 TSval=278138 TSecr=278113"
"393","8.384586000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34514 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=278139 TSecr=278114 WS=512"
"394","8.535706000","10.0.0.2","10.0.0.1","TCP","66","34514 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=278165 TSecr=278139"
"395","8.537387000","10.0.0.2","10.0.0.1","HTTP","681","GET /Course%20Outlines%20-%20Electrical%20and%20Computer%20Engineering%20-%20Faculty%20of%20Engineering%20-%20Western%20University_files/datepicker.validation.js.download HTTP/1.1 "
"396","8.587625000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34514 [ACK] Seq=1 Ack=616 Win=32256 Len=0 TSval=278190 TSecr=278165"
"397","8.588237000","10.0.0.1","10.0.0.2","TCP","95","[TCP segment of a reassembled PDU]"
"398","8.588389000","10.0.0.1","10.0.0.2","HTTP","381","HTTP/1.0 404 File not found  (text/html)"
"399","8.738759000","10.0.0.2","10.0.0.1","TCP","66","34514 > irdmi [ACK] Seq=616 Ack=30 Win=29696 Len=0 TSval=278215 TSecr=278190"
"400","8.740639000","10.0.0.2","10.0.0.1","TCP","66","34514 > irdmi [FIN, ACK] Seq=616 Ack=346 Win=32256 Len=0 TSval=278216 TSecr=278190"
"401","8.742872000","10.0.0.2","10.0.0.1","TCP","74","34516 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=278216 TSecr=0 WS=512"
"402","8.790926000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34514 [ACK] Seq=346 Ack=617 Win=32256 Len=0 TSval=278241 TSecr=278216"
"403","8.793250000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34516 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=278242 TSecr=278216 WS=512"
"404","8.944712000","10.0.0.2","10.0.0.1","TCP","66","34516 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=278267 TSecr=278242"
"405","8.944713000","10.0.0.2","10.0.0.1","HTTP","683","GET /Course%20Outlines%20-%20Electrical%20and%20Computer%20Engineering%20-%20Faculty%20of%20Engineering%20-%20Western%20University_files/jquery.ui.addresspicker.js.download HTTP/1.1 "
